chapter,section,topic,earlier_or_canonical_claim,conflicting_or_overstated_claim,action,replacement,status,notes
5,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
6,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
6,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
6,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
7,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
7,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
7,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
8,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
8,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
8,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
9,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
9,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
9,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
10,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
10,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
10,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
11,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
11,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
11,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
12,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
12,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
12,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
13,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
13,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
13,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
14,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
14,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
14,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
15,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
15,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
15,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
14,Dated legal analysis and Further Reading,Legal preservation,"Jurisdiction-specific duties, effective dates, and voluntary guidance remain distinct.",,Preserve accepted 2026-09-18 analysis verbatim apart from objective heading,,CONSISTENT,No new legal research; bibliography and accepted law audit preserved.
